id,title,price,images,description,tags,slug
1,Часы Красный Pixel-1,2979,https://picsum.photos/seed/product-1-img-0/600/600;https://picsum.photos/seed/product-1-img-1/600/600;https://picsum.photos/seed/product-1-img-2/600/600;https://picsum.photos/seed/product-1-img-3/600/600;https://picsum.photos/seed/product-1-img-4/600/600,"Описание товара Часы Красный Pixel-1. Это отличный выбор, если вы ищете часы. В комплекте 5 фото.",часы;красный,chasy-krasnyy-pixel-1
2,Смартфон Мощный Pixel-2,34394,https://picsum.photos/seed/product-2-img-0/600/600;https://picsum.photos/seed/product-2-img-1/600/600;https://picsum.photos/seed/product-2-img-2/600/600;https://picsum.photos/seed/product-2-img-3/600/600,"Описание товара Смартфон Мощный Pixel-2. Это отличный выбор, если вы ищете смартфон. В комплекте 4 фото.",смартфон;мощный,smartfon-moshchnyy-pixel-2
3,Чехол Мощный Pixel-3,35009,https://picsum.photos/seed/product-3-img-0/600/600;https://picsum.photos/seed/product-3-img-1/600/600;https://picsum.photos/seed/product-3-img-2/600/600;https://picsum.photos/seed/product-3-img-3/600/600,"Описание товара Чехол Мощный Pixel-3. Это отличный выбор, если вы ищете чехол. В комплекте 4 фото.",чехол;мощный,chekhol-moshchnyy-pixel-3
4,Ноутбук Бюджетный Pixel-4,31276,https://picsum.photos/seed/product-4-img-0/600/600;https://picsum.photos/seed/product-4-img-1/600/600;https://picsum.photos/seed/product-4-img-2/600/600,"Описание товара Ноутбук Бюджетный Pixel-4. Это отличный выбор, если вы ищете ноутбук. В комплекте 3 фото.",ноутбук;бюджет,noutbuk-byudzhetnyy-pixel-4
5,Смартфон Мощный Pixel-5,9051,https://picsum.photos/seed/product-5-img-0/600/600;https://picsum.photos/seed/product-5-img-1/600/600;https://picsum.photos/seed/product-5-img-2/600/600,"Описание товара Смартфон Мощный Pixel-5. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;мощный,smartfon-moshchnyy-pixel-5
6,Смартфон Флагманский Pixel-6,26908,https://picsum.photos/seed/product-6-img-0/600/600;https://picsum.photos/seed/product-6-img-1/600/600;https://picsum.photos/seed/product-6-img-2/600/600,"Описание товара Смартфон Флагманский Pixel-6. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;флагман,smartfon-flagmanskiy-pixel-6
7,Ноутбук Флагманский Pixel-7,32421,https://picsum.photos/seed/product-7-img-0/600/600;https://picsum.photos/seed/product-7-img-1/600/600;https://picsum.photos/seed/product-7-img-2/600/600;https://picsum.photos/seed/product-7-img-3/600/600;https://picsum.photos/seed/product-7-img-4/600/600,"Описание товара Ноутбук Флагманский Pixel-7. Это отличный выбор, если вы ищете ноутбук. В комплекте 5 фото.",ноутбук;флагман,noutbuk-flagmanskiy-pixel-7
8,Смартфон Быстрый Pixel-8,42638,https://picsum.photos/seed/product-8-img-0/600/600;https://picsum.photos/seed/product-8-img-1/600/600;https://picsum.photos/seed/product-8-img-2/600/600;https://picsum.photos/seed/product-8-img-3/600/600,"Описание товара Смартфон Быстрый Pixel-8. Это отличный выбор, если вы ищете смартфон. В комплекте 4 фото.",смартфон;быстрый,smartfon-bystryy-pixel-8
9,Чехол Стильный Pixel-9,49004,https://picsum.photos/seed/product-9-img-0/600/600;https://picsum.photos/seed/product-9-img-1/600/600;https://picsum.photos/seed/product-9-img-2/600/600;https://picsum.photos/seed/product-9-img-3/600/600;https://picsum.photos/seed/product-9-img-4/600/600,"Описание товара Чехол Стильный Pixel-9. Это отличный выбор, если вы ищете чехол. В комплекте 5 фото.",чехол;стильный,chekhol-stilnyy-pixel-9
10,Ноутбук Красный Pixel-10,34891,https://picsum.photos/seed/product-10-img-0/600/600;https://picsum.photos/seed/product-10-img-1/600/600;https://picsum.photos/seed/product-10-img-2/600/600;https://picsum.photos/seed/product-10-img-3/600/600,"Описание товара Ноутбук Красный Pixel-10. Это отличный выбор, если вы ищете ноутбук. В комплекте 4 фото.",ноутбук;красный,noutbuk-krasnyy-pixel-10
11,Наушники Мощный Pixel-11,34549,https://picsum.photos/seed/product-11-img-0/600/600;https://picsum.photos/seed/product-11-img-1/600/600;https://picsum.photos/seed/product-11-img-2/600/600;https://picsum.photos/seed/product-11-img-3/600/600;https://picsum.photos/seed/product-11-img-4/600/600,"Описание товара Наушники Мощный Pixel-11. Это отличный выбор, если вы ищете наушники. В комплекте 5 фото.",наушники;мощный,naushniki-moshchnyy-pixel-11
12,Смартфон Стильный Pixel-12,40109,https://picsum.photos/seed/product-12-img-0/600/600;https://picsum.photos/seed/product-12-img-1/600/600,"Описание товара Смартфон Стильный Pixel-12. Это отличный выбор, если вы ищете смартфон. В комплекте 2 фото.",смартфон;стильный,smartfon-stilnyy-pixel-12
13,Ноутбук Красный Pixel-13,11399,https://picsum.photos/seed/product-13-img-0/600/600;https://picsum.photos/seed/product-13-img-1/600/600;https://picsum.photos/seed/product-13-img-2/600/600,"Описание товара Ноутбук Красный Pixel-13. Это отличный выбор, если вы ищете ноутбук. В комплекте 3 фото.",ноутбук;красный,noutbuk-krasnyy-pixel-13
14,Ноутбук Бюджетный Pixel-14,23634,https://picsum.photos/seed/product-14-img-0/600/600;https://picsum.photos/seed/product-14-img-1/600/600;https://picsum.photos/seed/product-14-img-2/600/600;https://picsum.photos/seed/product-14-img-3/600/600;https://picsum.photos/seed/product-14-img-4/600/600,"Описание товара Ноутбук Бюджетный Pixel-14. Это отличный выбор, если вы ищете ноутбук. В комплекте 5 фото.",ноутбук;бюджет,noutbuk-byudzhetnyy-pixel-14
15,Часы Быстрый Pixel-15,14961,https://picsum.photos/seed/product-15-img-0/600/600;https://picsum.photos/seed/product-15-img-1/600/600;https://picsum.photos/seed/product-15-img-2/600/600,"Описание товара Часы Быстрый Pixel-15. Это отличный выбор, если вы ищете часы. В комплекте 3 фото.",часы;быстрый,chasy-bystryy-pixel-15
16,Наушники Бюджетный Pixel-16,41145,https://picsum.photos/seed/product-16-img-0/600/600;https://picsum.photos/seed/product-16-img-1/600/600;https://picsum.photos/seed/product-16-img-2/600/600;https://picsum.photos/seed/product-16-img-3/600/600,"Описание товара Наушники Бюджетный Pixel-16. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;бюджет,naushniki-byudzhetnyy-pixel-16
17,Ноутбук Стильный Pixel-17,19886,https://picsum.photos/seed/product-17-img-0/600/600;https://picsum.photos/seed/product-17-img-1/600/600;https://picsum.photos/seed/product-17-img-2/600/600;https://picsum.photos/seed/product-17-img-3/600/600,"Описание товара Ноутбук Стильный Pixel-17. Это отличный выбор, если вы ищете ноутбук. В комплекте 4 фото.",ноутбук;стильный,noutbuk-stilnyy-pixel-17
18,Ноутбук Бюджетный Pixel-18,9383,https://picsum.photos/seed/product-18-img-0/600/600;https://picsum.photos/seed/product-18-img-1/600/600;https://picsum.photos/seed/product-18-img-2/600/600;https://picsum.photos/seed/product-18-img-3/600/600,"Описание товара Ноутбук Бюджетный Pixel-18. Это отличный выбор, если вы ищете ноутбук. В комплекте 4 фото.",ноутбук;бюджет,noutbuk-byudzhetnyy-pixel-18
19,Чехол Флагманский Pixel-19,34105,https://picsum.photos/seed/product-19-img-0/600/600;https://picsum.photos/seed/product-19-img-1/600/600,"Описание товара Чехол Флагманский Pixel-19. Это отличный выбор, если вы ищете чехол. В комплекте 2 фото.",чехол;флагман,chekhol-flagmanskiy-pixel-19
20,Наушники Флагманский Pixel-20,7133,https://picsum.photos/seed/product-20-img-0/600/600;https://picsum.photos/seed/product-20-img-1/600/600;https://picsum.photos/seed/product-20-img-2/600/600;https://picsum.photos/seed/product-20-img-3/600/600,"Описание товара Наушники Флагманский Pixel-20. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;флагман,naushniki-flagmanskiy-pixel-20
21,Ноутбук Бюджетный Pixel-21,44684,https://picsum.photos/seed/product-21-img-0/600/600;https://picsum.photos/seed/product-21-img-1/600/600;https://picsum.photos/seed/product-21-img-2/600/600,"Описание товара Ноутбук Бюджетный Pixel-21. Это отличный выбор, если вы ищете ноутбук. В комплекте 3 фото.",ноутбук;бюджет,noutbuk-byudzhetnyy-pixel-21
